Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
2941312878,"Dec 18, 2019, 3:44:51 PM",Sortie à vélo dans l'après-midi,Ride,,3529,21.75,,,false,,,activities/2941312878.gpx,58.0,,3529.0,3437.0,21757.4,12.2,6.33,,,138.7,197.2,23.0,-0.1,,,,,,,,115.0,442.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2942539475,"Dec 19, 2019, 7:20:20 AM",Sacré vent de face !,Ride,,3930,21.41,,,false,,,activities/2942539475.gpx,58.0,,3930.0,3899.0,21416.8,12.0,5.493,,,136.4,184.3,13.1,0.1,,,,,,,,81.0,351.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2955807531,"Dec 25, 2019, 3:47:53 PM",Sortie à vélo dans l'après-midi,Ride,,3241,21.66,,,false,,,activities/2955807531.gpx,58.0,,3241.0,3234.0,21659.4,10.7,6.697,,,144.7,212.5,13.1,0.0,,,,,,,,97.0,350.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2963022884,"Dec 28, 2019, 1:44:02 PM",25km avec un pote 😀,Ride,,9752,45.66,,,false,,,activities/2963022884.gpx,58.0,,9752.0,8429.0,45663.9,13.4,5.417,,,154.9,253.1,16.0,0.0,,,,,,,,86.0,812.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2975755384,"Jan 2, 2020, 1:27:37 PM",Sortie à vélo dans l'après-midi,Ride,,7764,45.34,,,false,,,activities/2975755384.gpx,58.0,,7764.0,7298.0,45348.4,13.2,6.214,520.4,,146.4,278.6,28.0,0.0,,,,,,,,101.0,824.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3044254621,"Jan 26, 2020, 7:53:26 AM",Merci à tous 😅,Ride,,9540,58.40,,,false,,,activities/3044254621.gpx,58.0,,9540.0,8950.0,58399.0,23.1,6.525,565.8,,152.2,307.0,15.7,0.0,,,,,,,,102.0,1015.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3059546816,"Jan 31, 2020, 3:13:11 PM",Petite sortie avec mon père,Ride,,5156,26.00,,,false,,,activities/3059546816.gpx,58.0,,5156.0,4564.0,26003.1,14.4,5.697,379.1,,160.8,243.2,14.9,0.0,,,,,,,,97.0,496.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3116759283,"Feb 20, 2020, 2:20:28 PM",Sortie à vélo dans l'après-midi,Ride,,7838,46.02,,,false,,,activities/3116759283.gpx,58.0,,7838.0,7461.0,46022.1,13.6,6.168,440.1,441.1,144.7,253.0,13.9,0.0,,,,,,,,94.0,785.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3174581387,"Mar 11, 2020, 4:33:11 PM",Course à pied dans l'après-midi,Run,,1558,5.27,,,false,,,activities/3174581387.gpx,58.0,,1558.0,1553.0,5275.7,7.2,3.397,23.8,23.8,140.0,147.0,7.7,0.0,,,,,,,,,379.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5312.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3177637111,"Mar 12, 2020, 5:47:35 PM",Petit footing avec ma copine,Run,,1489,3.57,,,false,,,activities/3177637111.gpx,58.0,,1489.0,1470.0,3569.1,10.5,2.428,19.1,19.1,141.2,146.2,6.2,0.0,,,,,,,,,256.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,3594.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3181972066,"Mar 14, 2020, 9:03:27 AM",Sortie à vélo matinale,Ride,,11432,52.09,,,false,,,activities/3181972066.gpx,58.0,,11432.0,10193.0,52094.0,13.1,5.111,976.0,973.1,149.6,278.6,13.8,0.0,,,,,,,,96.0,1092.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
