file,distance_km,denivele_m,lat_start,lon_start,lat_end,lon_end,num_points
9237425099.gpx,63.49,924.3,43.52269,1.550161,43.523011,1.549417,8381
9243443780.gpx,38.59,427.9,43.522637,1.549974,43.522688,1.550119,5072
9280665589.gpx,52.81,735.6,43.52272,1.550194,43.52292,1.549791,6871
9324303089.gpx,72.56,1467.7,42.879951,1.628727,42.879696,1.629199,10774
9330341879.gpx,56.13,580.9,43.522671,1.550207,43.52264,1.550155,7818
9373988570.gpx,65.94,1687.7,42.928438,1.841391,42.928276,1.841569,9966
9410068864.gpx,47.91,965.3,43.431319,2.019761,43.431488,2.019661,6892
9417176340.gpx,66.64,864.0,43.522655,1.550102,43.523,1.549449,8937
9454555519.gpx,70.68,1156.2,43.057112,2.215882,43.056124,2.215814,9672
9473631791.gpx,102.21,2150.2,44.125939,5.10771,44.125572,5.107929,14841
9479755827.gpx,61.66,813.9,43.845903,5.104717,43.845712,5.104643,9405
9486426890.gpx,92.05,1497.7,43.845887,5.104645,43.845898,5.10478,13246
9504630344.gpx,70.46,784.8,43.522672,1.550202,43.522685,1.550167,9848
9524889969.gpx,20.88,295.2,42.960194,17.135433,42.960101,17.135941,5028
9537827075.gpx,22.66,168.6,43.385285,16.55513,43.385309,16.555208,5404
9547731772.gpx,4.3,71.8,43.796846,15.968099,43.802218,15.97185,4583
9567358294.gpx,71.9,773.4,43.522682,1.550027,43.522893,1.550938,9195
9586764195.gpx,74.29,1755.7,42.846815,1.603076,42.846733,1.603564,11277
9604846861.gpx,54.64,850.6,43.52265,1.550079,43.522653,1.550086,8316
9612221692.gpx,70.89,1427.1,43.078763,1.625292,43.079099,1.625241,12059
9618376996.gpx,20.29,230.7,43.522687,1.550198,43.522631,1.550113,4420
9631691677.gpx,18.36,289.8,43.522689,1.550155,43.454141,1.6134,2187
9645198811.gpx,15.67,90.8,43.454539,1.612226,43.522886,1.549767,1693
9683782119.gpx,81.52,1351.4,43.522686,1.550093,43.520969,1.551389,10384
9722763195.gpx,62.4,1052.1,43.522661,1.550198,43.523022,1.5485,8331
9773429131.gpx,74.19,1207.2,43.318796,1.947433,43.319053,1.947434,9721
9812943784.gpx,51.94,610.3,43.522657,1.550044,43.522245,1.550126,6737
9820243600.gpx,27.43,338.7,43.522727,1.550154,43.522709,1.550126,6000
9858926816.gpx,46.13,651.0,43.522639,1.550189,43.522935,1.550587,5910
9893728904.gpx,20.63,414.0,42.819712,0.403564,42.819711,0.403402,5007
9897561309.gpx,72.86,1783.2,42.81968,0.403379,42.823107,0.405335,11069
9899495874.gpx,6.04,252.1,42.81589,0.430224,42.815844,0.430252,5407
9903587740.gpx,21.14,687.9,42.819708,0.403451,42.819813,0.403716,6326
9906191594.gpx,10.08,368.3,42.827819,0.169555,42.828453,0.169787,10637
9909769363.gpx,62.29,1869.4,42.819709,0.403498,42.819752,0.403542,10182
9937200447.gpx,35.57,436.3,43.522659,1.550114,43.522706,1.550162,4636
9980387967.gpx,66.27,1001.1,43.522696,1.550106,43.522731,1.550082,8615
9999027530.gpx,92.22,1172.6,43.522647,1.55006,43.522577,1.550167,12980
